Text,Lexicon,Emotion,Sentiment,Mood
doubt reward solving issue 4430 including overseas allotees family e12 keep bahi good work serve citizen save,doubt(eu),Fear,Negative,Bad
rat baje hogi ghosda,rat(eu),Disgust,Negative,Bad
imran khan used youth proceeded making every policy youth sadkey dfa shayd vote mile agli dfa janab sure selected,khan(ru),Fear,Negative,Bad
voter feel disrespected way denotified unceremoniously leadership take decision must respect convey elected member due process please ensure respect,feel(eu),Neutral,Neutral,Moderate
pak army painda baad,pak(ru),Trust,Positive,Good
celebring dhakha fall day celebrate xday yday zday dfd day,fall(eu),Sadness,Negative,Bad
indian muslim didnt burnt effigy musharraf kargil attack indian muslim didnt slap effigy nawaz shariff mumbai terror attack indian muslim didnt walk pic imran khan pulwama attack,khan(ru),Fear,Negative,Bad
imran khan duffer,khan(ru),Fear,Negative,Bad
got played imran khan learnt lesson people whove supporting nleague year whats excuse think hamza maryum saviour dimag,khan(ru),Fear,Negative,Bad
plz plz plz want delay need carbon copy want justice,delay(eu),Anger,Negative,Bad
imran khan pakistan khan,khan(ru),Fear,Negative,Bad
insaaf iman roshan pakistan literally iman roshan pakistan justice naam dhaba iman roshan khak keray pakistan,literally(eu),Neutral,Neutral,Moderate
end tell take cautionon end force appear mass exam,end(eu),Neutral,Neutral,Moderate
kahan bethay saray called tabdeeli lanay walay,tabdeeli(ru),Fear,Negative,Bad
delay,delay(eu),Anger,Negative,Bad
justice done need delay need carbon copy,justice(eu),Trust,Positive,Good
health precious proff,health(eu),Neutral,Neutral,Moderate
able protect minority subjected forced conversion still elected unhumanright committee pakistan shame country voted,protect(eu),Neutral,Positive,Moderate
soo really want student suicide depression really,student(eu),Neutral,Neutral,Moderate
pmc playing future student,future(eu),Neutral,Neutral,Moderate
delay must,delay(eu),Anger,Negative,Bad
imran khan,khan(ru),Fear,Negative,Bad
delay mdcat stop playing future,delay(eu),Anger,Negative,Bad
want justice thisactually dissolve pmc bcz seems like pmc want make patient medical student especially repeater become mental patient,justice(eu),Trust,Positive,Good
plmn enagaged youth like imran khan ideology totally different ideology plmn true reflection bjps antipakistani ideology first analyze understand follow blindfollowers sheepsjinhy sirf khany pata,khan(ru),Fear,Negative,Bad
ever raised voice islam way demolishing mosque detaining uighur muslim truth literally never raised voice dear called well wisher islam,raised(eu),Neutral,Neutral,Moderate
chal okae naikbakhto exam cancel,chal(ru),Neutral,Neutral,Moderate
thek lykn imran khan fance product ban,khan(ru),Fear,Negative,Bad
today joke old clip type state well recognised capability laugh listening word,today(eu),Neutral,Neutral,Moderate
promotion solution kmu promote student corona case increase day,promotion(eu),Neutral,Positive,Moderate
striking similarity ineptitude poor governance cronyism vilifying opposition blaming screwup previous govts growing base think cost trump tomorrow also cost time come,striking(eu),Neutral,Positive,Moderate
case increasing day day dont want risk life promote mbbs student second wave already started,case(eu),Fear,Negative,Bad
case increasing day day dont want risk life promote mbbs student 2nd wave alreadg started,case(eu),Fear,Negative,Bad
started trending pakistan peshawar zalmi 65w super dart charge mirror silver taliban doctor biden jani earth chup imran khan bangladesh,doctor(ru),Trust,Positive,Good
may bless imran khan trillion xtrillion time,khan(ru),Fear,Negative,Bad
jhota wazeere azam imran khan jhot jhot bolta,jhota(ru),Neutral,Neutral,Moderate
trending peoplementionsusers pakistan 02nov20 214714,trending(eu),Neutral,Neutral,Moderate
dear plz,dear(eu),Neutral,Positive,Moderate
france product,product(eu),Neutral,Neutral,Moderate
